Enabled,Enabled
Disabled,Disabled
Yes,Yes
No,No
"Use Default Config","Use Default Config"
"Invalid email!","Invalid email!"
"Latitude: %1","Latitude: %1"
"Longtitude: %1","Longtitude: %1"
"%1 stars","%1 stars"
"Price: %1","Price: %1"
E-Signature,E-Signature
"The Form with the ""%1"" ID doesn't exist.","The Form with the ""%1"" ID doesn't exist."
"Could not save the form: %1","Could not save the form: %1"
"Form with id ""%1"" does not exist.","Form with id ""%1"" does not exist."
"Could not delete the form: %1","Could not delete the form: %1"
"Message with id ""%1"" does not exist.","Message with id ""%1"" does not exist."
"Could not delete the message: %1","Could not delete the message: %1"
"The form message with the ""%1"" ID doesn't exist.","The form message with the ""%1"" ID doesn't exist."
"Form design is not valid","Form design is not valid"
"Could not save the Ip: %1","Could not save the Ip: %1"
"Have problem when save the reply message. %1","Have problem when save the reply message. %1"
"The Form with the ""%1"" ID doesn't exist for customer group %2.","The Form with the ""%1"" ID doesn't exist for customer group %2."
"The Form with the ""%1"" ID doesn't exist for store %2.","The Form with the ""%1"" ID doesn't exist for store %2."
Sent,Sent
"Un Sent","Un Sent"
"A form identifier with the same properties already exists in the selected store.","A form identifier with the same properties already exists in the selected store."
"The form ID is missing.","The form ID is missing."
"You should submit form data, at now the submitted data is empty.","You should submit form data, at now the submitted data is empty."
"Could not submit the form: %1 . Wrong IP","Could not submit the form: %1 . Wrong IP"
"Could not submit the form: %1 . Please verify captcha!","Could not submit the form: %1 . Please verify captcha!"
"Could not submit the form: %1, Wrong upload files","Could not submit the form: %1, Wrong upload files"
"Could not submit the form: %1, your email address was blocked","Could not submit the form: %1, your email address was blocked"
"Some error when sending emails.","Some error when sending emails."
"Unknown template type","Unknown template type"
Edit,Edit
"All Store Views","All Store Views"
"Customer anonymous","Customer anonymous"
Delete,Delete
Email,Email
Ip,Ip
"Created Date","Created Date"
Whitelist,Whitelist
"Block Ip","Block Ip"
"Block Email","Block Email"
"Select Email","Select Email"
"Add To Blacklist","Add To Blacklist"
"Ajax posting data...","Ajax posting data..."
"List email reply","List email reply"
"Email From","Email From"
"Email To","Email To"
Subject,Subject
"Message Content","Message Content"
"Error Message","Error Message"
UnSent,UnSent
"Reply Information","Reply Information"
"Send Email","Send Email"
"Note: You must fill in all fields before submit button Send Email!","Note: You must fill in all fields before submit button Send Email!"
"Reply is sending...","Reply is sending..."
"or Input Tracking Code","or Input Tracking Code"
"Check Code","Check Code"
label,label
"Submitted At","Submitted At"
"Submit from the Form: ","Submit from the Form: "
